"Time.to.resolution","year","quarter","area"
10,2016,"Q1","D"
10,2016,"Q1",NA
3,2016,"Q1","D"
6,2016,"Q2","W"
6,2016,"Q2","D"
5,2016,"Q2","W"
5,2016,"Q2","W"
15,2016,"Q2","W"
9,2016,"Q2","W"
11,2016,"Q2",NA
7,2016,"Q3","W"
9,2016,"Q3","LSU"
22,2016,"Q3","D"
19,2016,"Q3","D"
46,2016,"Q4","D"
14,2016,"Q4","N"
8,2017,"Q1",NA
7,2017,"Q1","W"
6,2017,"Q1","D"
2,2017,"Q2","LSU"
6,2017,"Q2","W"
3,2017,"Q2","D"
26,2017,"Q4","W"
13,2018,"Q1",NA
13,2018,"Q1","W"
14,2018,"Q1","LSU"
8,2018,"Q1",NA
13,2018,"Q1","W"
14,2018,"Q1","W"
0,2018,"Q2","W"
19,2018,"Q2","LSU"
21,2018,"Q2",NA
24,2018,"Q2","W"
8,2018,"Q3","D"
11,2018,"Q3","D"
9,2018,"Q4","D"
10,2018,"Q4",NA
5,2018,"Q4",NA
7,2018,"Q4","D"
8,2019,"Q2","N"
10,2019,"Q2","LSU"
36,2019,"Q2","LSU"
19,2019,"Q2","D"
19,2019,"Q2","W"
21,2019,"Q2","LSU"
3,2019,"Q3","N"
6,2019,"Q3",NA
7,2019,"Q4","D"
8,2019,"Q4","N"
6,2020,"Q1","LSU"
6,2020,"Q1","D"
10,2020,"Q1","N"
3,2020,"Q2","D"
6,2020,"Q2","LSU"
7,2020,"Q2",NA
8,2020,"Q2","N"
4,2020,"Q2","D"
3,2020,"Q3","D"
2,2020,"Q3","W"
8,2020,"Q4","W"
3,2020,"Q4",NA
3,2020,"Q4","D"
5,2020,"Q4","D"
6,2020,"Q4","D"
4,2020,"Q4",NA
6,2020,"Q4","D"
6,2020,"Q4","D"
3,2016,"Q1","LSU"
2,2016,"Q1",NA
2,2016,"Q1","LSU"
1,2016,"Q1","N"
7,2016,"Q1","W"
2,2016,"Q1","LSU"
2,2016,"Q1","N"
2,2016,"Q1","LSU"
2,2016,"Q1","D"
6,2016,"Q1","W"
2,2016,"Q1","D"
3,2016,"Q1","LSU"
5,2016,"Q1",NA
2,2016,"Q1","W"
5,2016,"Q1","LSU"
5,2016,"Q1","LSU"
6,2016,"Q1","W"
5,2016,"Q1","LSU"
6,2016,"Q1","W"
2,2016,"Q1","D"
6,2016,"Q1","W"
