"DEPARTMENT","Time.to.resolution","month","year","area","year.mo"
"GROUNDS",95,11,2021,"W",202111
"SANITATION",2,11,2021,"W",202111
"GROUNDS",9,11,2021,"D",202111
"SANITATION",4,11,2021,"W",202111
"SANITATION",0,2,2022,"W",202202
"SANITATION",1,2,2022,"W",202202
"SANITATION",1,2,2022,"D",202202
"SANITATION",1,2,2022,"D",202202
"SANITATION",0,2,2022,"LSU",202202
"SANITATION",0,2,2022,"W",202202
"GROUNDS",354,11,2020,"D",202011
"GROUNDS",237,3,2021,"D",202103
"GROUNDS",196,4,2021,"D",202104
"SANITATION",181,5,2021,"D",202105
"GROUNDS",177,5,2021,"D",202105
"GROUNDS",170,5,2021,"D",202105
"SANITATION",164,5,2021,"D",202105
"GROUNDS",136,6,2021,"D",202106
"GROUNDS",125,7,2021,"D",202107
"GROUNDS",124,7,2021,"D",202107
"SANITATION",118,7,2021,"D",202107
"GROUNDS",105,7,2021,"D",202107
"SANITATION",95,8,2021,"N",202108
"GROUNDS",92,8,2021,"N",202108
"GROUNDS",80,8,2021,"W",202108
"GROUNDS",76,8,2021,"W",202108
"GROUNDS",72,8,2021,"W",202108
"SANITATION",52,9,2021,"D",202109
"SANITATION",52,9,2021,"D",202109
"SANITATION",48,9,2021,"D",202109
"GROUNDS",46,9,2021,"W",202109
"GROUNDS",45,9,2021,"W",202109
"SANITATION",42,9,2021,"D",202109
"GROUNDS",26,10,2021,"D",202110
"GROUNDS",20,10,2021,"W",202110
"GROUNDS",98,10,2021,"W",202110
"SANITATION",9,10,2021,"W",202110
"SANITATION",8,10,2021,"D",202110
"SANITATION",6,11,2021,"W",202111
"SANITATION",6,11,2021,"N",202111
"GROUNDS",4,11,2021,"D",202111
"GROUNDS",5,11,2021,"N",202111
"SANITATION",5,11,2021,"D",202111
"SANITATION",5,11,2021,"W",202111
"SANITATION",4,11,2021,"N",202111
"SANITATION",4,11,2021,"W",202111
"SANITATION",3,11,2021,"LSU",202111
"GROUNDS",4,11,2021,"W",202111
"GROUNDS",2,11,2021,"D",202111
"SANITATION",2,11,2021,"W",202111
"SANITATION",2,11,2021,"D",202111
"SANITATION",2,11,2021,"LSU",202111
"SANITATION",2,11,2021,"D",202111
"SANITATION",4,11,2021,"W",202111
"SANITATION",2,11,2021,"D",202111
"SANITATION",2,11,2021,"W",202111
"SANITATION",2,11,2021,"W",202111
"SANITATION",2,11,2021,"W",202111
"SANITATION",3,11,2021,"D",202111
"SANITATION",3,11,2021,"W",202111
"SANITATION",2,11,2021,"W",202111
"SANITATION",3,11,2021,"LSU",202111
"SANITATION",3,11,2021,"LSU",202111
"SANITATION",3,11,2021,"LSU",202111
"SANITATION",2,11,2021,"D",202111
"GROUNDS",103,11,2021,"D",202111
"GROUNDS",106,11,2021,"W",202111
"SANITATION",0,11,2021,"LSU",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",5,11,2021,"LSU",202111
"SANITATION",0,11,2021,"D",202111
"SANITATION",0,11,2021,"D",202111
"GROUNDS",92,11,2021,"W",202111
"SANITATION",0,11,2021,"D",202111
"SANITATION",4,11,2021,"LSU",202111
"GROUNDS",90,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"GROUNDS",104,11,2021,"W",202111
"GROUNDS",114,11,2021,"LSU",202111
"GROUNDS",11,11,2021,"N",202111
"GROUNDS",90,11,2021,"W",202111
"GROUNDS",16,11,2021,"W",202111
"GROUNDS",92,11,2021,"W",202111
"SANITATION",0,11,2021,"D",202111
"GROUNDS",84,11,2021,"W",202111
"SANITATION",3,11,2021,"W",202111
"SANITATION",0,11,2021,"LSU",202111
"GROUNDS",218,7,2021,"W",202107
"GROUNDS",92,11,2021,"W",202111
"SANITATION",0,11,2021,"N",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",1,11,2021,"W",202111
"SANITATION",0,11,2021,"D",202111
"SANITATION",1,11,2021,"W",202111
"SANITATION",0,11,2021,"D",202111
"GROUNDS",100,11,2021,"W",202111
"GROUNDS",92,11,2021,"W",202111
"GROUNDS",24,11,2021,"N",202111
"SANITATION",26,11,2021,"W",202111
"SANITATION",0,11,2021,"N",202111
"SANITATION",0,11,2021,"D",202111
"GROUNDS",90,11,2021,"W",202111
"SANITATION",0,11,2021,"LSU",202111
"SANITATION",0,11,2021,"D",202111
"SANITATION",0,11,2021,"LSU",202111
"SANITATION",1,11,2021,"W",202111
"GROUNDS",33,11,2021,"LSU",202111
"GROUNDS",91,11,2021,"LSU",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",7,11,2021,"W",202111
"SANITATION",0,11,2021,"LSU",202111
"GROUNDS",104,11,2021,"W",202111
"SANITATION",0,11,2021,"D",202111
"GROUNDS",23,11,2021,"D",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",0,11,2021,"D",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",7,11,2021,"W",202111
"GROUNDS",90,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"GROUNDS",92,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",1,11,2021,"W",202111
"GROUNDS",99,11,2021,"W",202111
"GROUNDS",28,11,2021,"N",202111
"SANITATION",0,11,2021,"D",202111
"GROUNDS",205,7,2021,"W",202107
"SANITATION",0,11,2021,"D",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",0,11,2021,"D",202111
"GROUNDS",76,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"GROUNDS",113,11,2021,"W",202111
"SANITATION",1,11,2021,"N",202111
"SANITATION",2,11,2021,"N",202111
"SANITATION",0,11,2021,"D",202111
"SANITATION",0,2,2022,"D",202202
"SANITATION",1,2,2022,"N",202202
"SANITATION",1,2,2022,"W",202202
"SANITATION",1,2,2022,"W",202202
"SANITATION",1,2,2022,"W",202202
"GROUNDS",7,2,2022,"D",202202
"GROUNDS",288,1,2021,"D",202101
"GROUNDS",240,3,2021,"D",202103
"GROUNDS",223,3,2021,"D",202103
"GROUNDS",222,4,2021,"D",202104
"GROUNDS",189,5,2021,"D",202105
"GROUNDS",219,4,2021,"D",202104
"GROUNDS",182,5,2021,"D",202105
"GROUNDS",174,5,2021,"D",202105
"GROUNDS",144,6,2021,"D",202106
"GROUNDS",140,6,2021,"D",202106
"GROUNDS",133,6,2021,"D",202106
"GROUNDS",123,7,2021,"D",202107
"GROUNDS",106,7,2021,"D",202107
"SANITATION",106,7,2021,"N",202107
"GROUNDS",105,7,2021,"D",202107
"GROUNDS",99,8,2021,"D",202108
"GROUNDS",98,8,2021,"D",202108
"GROUNDS",78,8,2021,"D",202108
"GROUNDS",55,9,2021,"D",202109
"GROUNDS",55,9,2021,"D",202109
"GROUNDS",53,9,2021,"D",202109
"GROUNDS",47,9,2021,"D",202109
"GROUNDS",29,10,2021,"D",202110
"GROUNDS",29,10,2021,"N",202110
"GROUNDS",8,11,2021,"D",202111
"SANITATION",1,11,2021,"N",202111
"SANITATION",2,11,2021,"D",202111
"SANITATION",1,11,2021,"D",202111
"SANITATION",2,11,2021,"N",202111
"SANITATION",2,11,2021,"N",202111
"SANITATION",0,11,2021,"D",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",0,11,2021,"N",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",1,11,2021,"D",202111
"SANITATION",1,11,2021,"D",202111
"SANITATION",1,11,2021,"D",202111
"SANITATION",1,11,2021,"W",202111
"SANITATION",1,11,2021,"W",202111
"SANITATION",2,11,2021,"W",202111
"SANITATION",0,11,2021,"D",202111
"SANITATION",0,11,2021,"D",202111
"SANITATION",1,11,2021,"D",202111
"GROUNDS",61,11,2021,"W",202111
"SANITATION",0,11,2021,"N",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",1,11,2021,"W",202111
"SANITATION",1,11,2021,"W",202111
"SANITATION",0,11,2021,"N",202111
"SANITATION",4,11,2021,"D",202111
"GROUNDS",34,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",0,11,2021,"D",202111
"GROUNDS",99,11,2021,"W",202111
"SANITATION",0,11,2021,"LSU",202111
"SANITATION",0,11,2021,"N",202111
"SANITATION",0,11,2021,"D",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",0,11,2021,"N",202111
"SANITATION",2,11,2021,"W",202111
"SANITATION",1,11,2021,"W",202111
"SANITATION",2,11,2021,"W",202111
"SANITATION",1,11,2021,"W",202111
"SANITATION",0,11,2021,"LSU",202111
"SANITATION",0,11,2021,"D",202111
"SANITATION",1,11,2021,"D",202111
"SANITATION",1,11,2021,"D",202111
"SANITATION",1,11,2021,"LSU",202111
"SANITATION",1,11,2021,"W",202111
"GROUNDS",212,7,2021,"W",202107
"SANITATION",1,11,2021,"W",202111
"SANITATION",4,11,2021,"D",202111
"GROUNDS",184,8,2021,"W",202108
"GROUNDS",179,8,2021,"W",202108
"SANITATION",0,11,2021,"LSU",202111
"SANITATION",0,11,2021,"N",202111
"GROUNDS",170,8,2021,"LSU",202108
"GROUNDS",148,9,2021,"W",202109
"GROUNDS",129,10,2021,"D",202110
"GROUNDS",128,10,2021,"LSU",202110
"SANITATION",0,11,2021,"W",202111
"SANITATION",0,11,2021,"W",202111
"GROUNDS",13,11,2021,"W",202111
"SANITATION",0,11,2021,"N",202111
"GROUNDS",100,11,2021,"W",202111
"SANITATION",3,11,2021,"LSU",202111
"SANITATION",0,11,2021,"LSU",202111
"SANITATION",1,11,2021,"D",202111
"GROUNDS",5,11,2021,"N",202111
"GROUNDS",8,11,2021,"N",202111
"GROUNDS",3,11,2021,"D",202111
"SANITATION",1,2,2022,"D",202202
"SANITATION",0,2,2022,"W",202202
"SANITATION",0,11,2021,"W",202111
"SANITATION",1,11,2021,"W",202111
"SANITATION",1,2,2022,"N",202202
"SANITATION",0,2,2022,"W",202202
"SANITATION",1,2,2022,"D",202202
"GROUNDS",11,2,2022,"N",202202
"SANITATION",4,2,2022,"W",202202
"GROUNDS",161,6,2021,"N",202106
"GROUNDS",101,8,2021,"N",202108
"GROUNDS",78,8,2021,"N",202108
"GROUNDS",43,9,2021,"N",202109
"GROUNDS",42,9,2021,"D",202109
"GROUNDS",36,10,2021,"N",202110
"GROUNDS",63,10,2021,"D",202110
"GROUNDS",110,10,2021,"W",202110
"GROUNDS",54,10,2021,"W",202110
"GROUNDS",3,11,2021,"W",202111
"SANITATION",2,11,2021,"D",202111
"SANITATION",2,11,2021,"D",202111
"SANITATION",3,11,2021,"D",202111
"SANITATION",2,11,2021,"W",202111
"SANITATION",2,11,2021,"W",202111
"SANITATION",0,11,2021,"LSU",202111
"SANITATION",0,11,2021,"N",202111
"SANITATION",0,11,2021,"LSU",202111
"SANITATION",4,11,2021,"W",202111
"SANITATION",1,11,2021,"N",202111
"SANITATION",0,11,2021,"W",202111
"SANITATION",0,11,2021,"D",202111
"GROUNDS",59,11,2021,"W",202111
"SANITATION",0,11,2021,"LSU",202111
"SANITATION",3,11,2021,"D",202111
"SANITATION",0,11,2021,"D",202111
"SANITATION",0,11,2021,"N",202111
"GROUNDS",96,11,2021,"W",202111
"SANITATION",0,11,2021,"LSU",202111
"SANITATION",4,11,2021,"D",202111
"SANITATION",4,11,2021,"W",202111
"SANITATION",0,11,2021,"LSU",202111
"SANITATION",3,11,2021,"W",202111
"SANITATION",0,11,2021,"D",202111
"GROUNDS",20,11,2021,"D",202111
"GROUNDS",261,2,2021,"D",202102
"GROUNDS",198,4,2021,"W",202104
"GROUNDS",193,5,2021,"D",202105
"GROUNDS",157,6,2021,"W",202106
"GROUNDS",144,6,2021,"W",202106
"GROUNDS",143,6,2021,"W",202106
"GROUNDS",106,7,2021,"W",202107
"GROUNDS",98,8,2021,"W",202108
"GROUNDS",89,8,2021,"W",202108
"GROUNDS",82,8,2021,"W",202108
"GROUNDS",78,8,2021,"W",202108
"GROUNDS",65,9,2021,"W",202109
"GROUNDS",44,9,2021,"W",202109
"GROUNDS",39,10,2021,"W",202110
"GROUNDS",26,11,2021,"W",202111
"SANITATION",1,11,2021,"D",202111
