"Time.to.resolution","year","quarter","area"
520,2020,"Q2","D"
0,2016,"Q1","D"
0,2016,"Q1","LSU"
1,2016,"Q1","D"
0,2016,"Q1","D"
0,2016,"Q1","LSU"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","D"
0,2016,"Q1","N"
0,2016,"Q1","D"
0,2016,"Q1","D"
0,2016,"Q1","D"
0,2016,"Q1","D"
0,2016,"Q1","D"
0,2016,"Q1","LSU"
0,2016,"Q1","LSU"
0,2016,"Q1","LSU"
0,2016,"Q1","D"
0,2016,"Q1","D"
0,2016,"Q1","D"
0,2016,"Q1","D"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","LSU"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","D"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","D"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","N"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","D"
0,2016,"Q1","W"
0,2016,"Q1","D"
0,2016,"Q1","D"
0,2016,"Q1","W"
0,2016,"Q1","D"
0,2016,"Q1","D"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","W"
1,2016,"Q1","W"
0,2016,"Q1","W"
1,2016,"Q1","W"
2,2016,"Q1","W"
0,2016,"Q1","D"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","D"
0,2016,"Q1","D"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","D"
0,2016,"Q1","W"
0,2016,"Q1","D"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","W"
0,2016,"Q1","D"
0,2016,"Q1","D"
0,2016,"Q1","D"
0,2016,"Q1","W"
0,2016,"Q1","D"
1,2016,"Q1","W"
1,2016,"Q1","D"
0,2016,"Q1","D"
1,2016,"Q1","W"
0,2016,"Q1","N"
0,2016,"Q1","N"
0,2016,"Q1","W"
0,2016,"Q1","D"
1,2016,"Q1","D"
