"Time.to.resolution","DEPARTMENT","area","TYPEid","month","year"
1,"SANITATION","W",173024,2,4
53,"SANITATION","D",173024,9,3
6,"GROUNDS","N",174362,11,3
1,"SANITATION","D",173024,11,3
2,"SANITATION","W",173024,11,3
2,"SANITATION","N",173024,2,4
4,"SANITATION","D",173024,11,3
49,"GROUNDS","LSU",174362,9,3
3,"SANITATION","N",173024,11,3
4,"SANITATION","W",173024,11,3
1,"SANITATION","D",173024,11,3
55,"GROUNDS","W",174362,11,3
3,"SANITATION","W",173024,2,4
1,"SANITATION","W",173024,11,3
3,"GROUNDS","N",174362,11,3
48,"GROUNDS","W",174362,11,3
5,"SANITATION","W",173024,11,3
2,"SANITATION","D",173024,2,4
1,"SANITATION","D",173024,2,4
2,"SANITATION","D",173024,2,4
1,"SANITATION","W",173024,2,4
47,"GROUNDS","W",174362,9,3
15,"SANITATION","N",173024,9,3
16,"SANITATION","N",173024,9,3
10,"SANITATION","N",173024,9,3
16,"SANITATION","N",173024,9,3
1,"SANITATION","W",173024,2,4
1,"SANITATION","N",173024,11,3
2,"SANITATION","W",173024,11,3
3,"SANITATION","W",173024,2,4
1,"SANITATION","D",173024,2,4
1,"SANITATION","D",173024,2,4
1,"SANITATION","N",173024,2,4
1,"SANITATION","W",173024,2,4
1,"SANITATION","N",427105,3,4
6,"SANITATION","N",173024,11,3
2,"SANITATION","W",173024,11,3
1,"SANITATION","D",173024,11,3
2,"SANITATION","D",173027,3,4
15,"GROUNDS","D",174362,11,3
1,"SANITATION","LSU",173027,3,4
2,"SANITATION","D",173024,3,4
1,"SANITATION","W",173024,12,3
4,"SANITATION","W",173024,12,3
10,"GROUNDS","W",174362,12,3
3,"SANITATION","D",173024,3,4
2,"SANITATION","N",173024,12,3
1,"SANITATION","D",173024,12,3
2,"SANITATION","W",173024,12,3
2,"SANITATION","D",173024,3,4
2,"SANITATION","W",173024,12,3
2,"SANITATION","W",173024,12,3
1,"SANITATION","W",173024,12,3
2,"SANITATION","LSU",173024,12,3
5,"SANITATION","D",173024,12,3
5,"SANITATION","LSU",427105,12,3
4,"SANITATION","N",173024,12,3
2,"SANITATION","W",173024,3,4
1,"SANITATION","W",173024,3,4
2,"SANITATION","N",173024,12,3
4,"SANITATION","W",173024,12,3
20,"GROUNDS","LSU",174362,12,3
3,"SANITATION","W",173027,12,3
1,"SANITATION","W",427105,12,3
49,"GROUNDS","W",174362,12,3
1,"SANITATION","W",173024,12,3
1,"SANITATION","D",173024,12,3
2,"SANITATION","N",173024,12,3
2,"SANITATION","W",427105,12,3
6,"SANITATION","W",173024,12,3
1,"SANITATION","N",173024,12,3
5,"SANITATION","W",173024,12,3
5,"SANITATION","W",173024,12,3
31,"GROUNDS","D",174362,12,3
4,"SANITATION","W",173027,12,3
11,"GROUNDS","W",174362,12,3
27,"GROUNDS","D",174362,12,3
2,"SANITATION","W",173024,12,3
21,"GROUNDS","W",174362,12,3
3,"SANITATION","W",173024,12,3
1,"SANITATION","LSU",427105,12,3
1,"SANITATION","D",427105,12,3
1,"SANITATION","W",173024,12,3
1,"SANITATION","W",173024,12,3
2,"SANITATION","W",173024,12,3
2,"SANITATION","W",173024,12,3
5,"SANITATION","W",427105,12,3
5,"SANITATION","W",173024,12,3
33,"GROUNDS","W",174362,12,3
1,"SANITATION","W",173024,12,3
23,"GROUNDS","W",174362,1,4
2,"SANITATION","N",427105,1,4
8,"GROUNDS","W",174362,1,4
2,"SANITATION","LSU",173024,1,4
34,"GROUNDS","D",174362,1,4
1,"SANITATION","W",173024,1,4
21,"GROUNDS","D",174362,1,4
1,"SANITATION","W",173024,1,4
10,"SANITATION","D",173024,1,4
9,"SANITATION","D",173024,1,4
1,"SANITATION","W",173027,1,4
1,"SANITATION","D",173024,1,4
1,"SANITATION","W",173024,1,4
4,"SANITATION","LSU",427105,1,4
5,"GROUNDS","W",174362,1,4
3,"SANITATION","D",173024,1,4
1,"SANITATION","W",173024,1,4
5,"SANITATION","W",173024,1,4
3,"SANITATION","W",173024,1,4
2,"SANITATION","D",173024,1,4
4,"SANITATION","W",173024,1,4
1,"SANITATION","D",173024,1,4
2,"SANITATION","W",173024,1,4
4,"SANITATION","LSU",173024,1,4
1,"GROUNDS","N",174362,1,4
7,"GROUNDS","W",174362,2,4
3,"SANITATION","W",173024,2,4
1,"SANITATION","N",173024,2,4
1,"SANITATION","D",427105,2,4
6,"GROUNDS","D",174362,2,4
3,"SANITATION","D",173024,2,4
12,"SANITATION","W",173024,5,1
2,"SANITATION","W",173024,1,-2
1,"SANITATION","N",173024,1,-2
3,"SANITATION","W",173024,1,-2
3,"SANITATION","W",173024,1,-2
3,"SANITATION","W",173024,1,-2
1,"SANITATION","D",173024,1,-2
2,"SANITATION","W",173024,1,-2
1,"SANITATION","W",173024,1,-2
2,"SANITATION","D",173024,1,-2
2,"SANITATION","W",173024,1,-2
2,"SANITATION","LSU",173024,1,-2
2,"SANITATION","LSU",173024,1,-2
1,"SANITATION","D",173024,1,-2
1,"SANITATION","N",173024,1,-2
4,"SANITATION","LSU",173024,1,-2
2,"SANITATION","W",173024,1,-2
4,"SANITATION","W",173024,1,-2
1,"SANITATION","N",173024,1,-2
2,"SANITATION","LSU",173024,1,-2
1,"SANITATION","W",173024,1,-2
1,"SANITATION","W",173024,1,-2
1,"SANITATION","N",173024,2,-2
6,"SANITATION","W",173024,2,-2
1,"SANITATION","N",173027,2,-2
1,"SANITATION","W",173024,2,-2
1,"SANITATION","W",173024,2,-2
1,"SANITATION","LSU",173024,2,-2
1,"SANITATION","W",173024,2,-2
1,"SANITATION","D",173024,2,-2
1,"SANITATION","W",173024,2,-2
1,"SANITATION","D",173024,2,-2
5,"SANITATION","W",173024,2,-2
2,"SANITATION","LSU",173024,2,-2
1,"SANITATION","W",173027,2,-2
6,"SANITATION","N",173024,2,-2
4,"SANITATION","D",173024,2,-2
2,"SANITATION","LSU",173024,2,-2
1,"SANITATION","LSU",173024,2,-2
